id,day,negaff,stress,neurotic,stress_personmean,negaff_personmean,neurotic_gmc,stress_gmc,stress_pmc,negaff_pmc
101,0,3,1.5,2,1.0625,1.5,0.981578947,-0.333032581,0.4375,1.5
101,1,2.3,1.25,2,1.0625,1.5,0.981578947,-0.333032581,0.1875,0.8
101,2,1,0.5,2,1.0625,1.5,0.981578947,-0.333032581,-0.5625,-0.5
101,3,1.3,1,2,1.0625,1.5,0.981578947,-0.333032581,-0.0625,-0.2
101,4,1.1,1.25,2,1.0625,1.5,0.981578947,-0.333032581,0.1875,-0.4
101,5,1,1.25,2,1.0625,1.5,0.981578947,-0.333032581,0.1875,-0.5
101,6,1.2,0.5,2,1.0625,1.5,0.981578947,-0.333032581,-0.5625,-0.3
101,7,1.1,1.25,2,1.0625,1.5,0.981578947,-0.333032581,0.1875,-0.4
102,0,1.4,0.5,2,0.78125,2.21875,0.981578947,-0.614282581,-0.28125,-0.81875
102,1,1.6,0,2,0.78125,2.21875,0.981578947,-0.614282581,-0.78125,-0.61875
102,2,2.6,0,2,0.78125,2.21875,0.981578947,-0.614282581,-0.78125,0.38125
102,3,2.8,2.25,2,0.78125,2.21875,0.981578947,-0.614282581,1.46875,0.58125
102,4,1.7,0,2,0.78125,2.21875,0.981578947,-0.614282581,-0.78125,-0.51875
102,5,2.65,0.25,2,0.78125,2.21875,0.981578947,-0.614282581,-0.53125,0.43125
102,6,2.2,1.25,2,0.78125,2.21875,0.981578947,-0.614282581,0.46875,-0.01875
102,7,2.8,2,2,0.78125,2.21875,0.981578947,-0.614282581,1.21875,0.58125
103,0,2.6,1.25,2.5,1.25,2.416666667,0.481578947,-0.145532581,0,0.183333333
103,3,1.5,1,2.5,1.25,2.416666667,0.481578947,-0.145532581,-0.25,-0.916666667
103,4,1.6,1.25,2.5,1.25,2.416666667,0.481578947,-0.145532581,0,-0.816666667
103,5,1.5,0.75,2.5,1.25,2.416666667,0.481578947,-0.145532581,-0.5,-0.916666667
103,6,4.1,2,2.5,1.25,2.416666667,0.481578947,-0.145532581,0.75,1.683333333
103,7,3.2,1.25,2.5,1.25,2.416666667,0.481578947,-0.145532581,0,0.783333333
104,0,1.1,1.5,2.5,1.8125,1.55,0.481578947,0.416967419,-0.3125,-0.45
104,1,1.6,2.25,2.5,1.8125,1.55,0.481578947,0.416967419,0.4375,0.05
104,2,1.4,1.75,2.5,1.8125,1.55,0.481578947,0.416967419,-0.0625,-0.15
104,3,1,1.5,2.5,1.8125,1.55,0.481578947,0.416967419,-0.3125,-0.55
104,4,1.7,2.25,2.5,1.8125,1.55,0.481578947,0.416967419,0.4375,0.15
104,5,1.1,1.75,2.5,1.8125,1.55,0.481578947,0.416967419,-0.0625,-0.45
104,6,1.2,1.75,2.5,1.8125,1.55,0.481578947,0.416967419,-0.0625,-0.35
104,7,3.3,1.75,2.5,1.8125,1.55,0.481578947,0.416967419,-0.0625,1.75
105,0,3.2,1.5,3.5,1.75,2.6125,-0.518421053,0.354467419,-0.25,0.5875
105,1,2.8,1.5,3.5,1.75,2.6125,-0.518421053,0.354467419,-0.25,0.1875
105,2,2.3,1,3.5,1.75,2.6125,-0.518421053,0.354467419,-0.75,-0.3125
105,3,2.8,1.25,3.5,1.75,2.6125,-0.518421053,0.354467419,-0.5,0.1875
105,4,3.6,2.75,3.5,1.75,2.6125,-0.518421053,0.354467419,1,0.9875
105,5,2.2,2.5,3.5,1.75,2.6125,-0.518421053,0.354467419,0.75,-0.4125
105,6,2,1.75,3.5,1.75,2.6125,-0.518421053,0.354467419,0,-0.6125
105,7,2,1.75,3.5,1.75,2.6125,-0.518421053,0.354467419,0,-0.6125
106,0,1.3,0.75,1.5,1.125,2.071875,1.481578947,-0.270532581,-0.375,-0.771875
106,1,1.9,0.75,1.5,1.125,2.071875,1.481578947,-0.270532581,-0.375,-0.171875
106,2,3.2,2.25,1.5,1.125,2.071875,1.481578947,-0.270532581,1.125,1.128125
106,3,2.525,1.75,1.5,1.125,2.071875,1.481578947,-0.270532581,0.625,0.453125
106,4,1.3,0,1.5,1.125,2.071875,1.481578947,-0.270532581,-1.125,-0.771875
106,5,2.05,1.5,1.5,1.125,2.071875,1.481578947,-0.270532581,0.375,-0.021875
106,6,2.7,2,1.5,1.125,2.071875,1.481578947,-0.270532581,0.875,0.628125
106,7,1.6,0,1.5,1.125,2.071875,1.481578947,-0.270532581,-1.125,-0.471875
107,0,2.7,1.5,1.5,1.145833333,2.025,1.481578947,-0.249699248,0.354166667,0.675
107,1,2.2,1.25,1.5,1.145833333,2.025,1.481578947,-0.249699248,0.104166667,0.175
107,2,2.2,1.5,1.5,1.145833333,2.025,1.481578947,-0.249699248,0.354166667,0.175
107,3,2.1,1.25,1.5,1.145833333,2.025,1.481578947,-0.249699248,0.104166667,0.075
107,4,1.8,1,1.5,1.145833333,2.025,1.481578947,-0.249699248,-0.145833333,-0.225
107,5,1.3,0.666666667,1.5,1.145833333,2.025,1.481578947,-0.249699248,-0.479166666,-0.725
107,6,1.4,1.25,1.5,1.145833333,2.025,1.481578947,-0.249699248,0.104166667,-0.625
107,7,2.5,0.75,1.5,1.145833333,2.025,1.481578947,-0.249699248,-0.395833333,0.475
108,0,5.3,1.5,4.5,2.4375,5.0875,-1.518421053,1.041967419,-0.9375,0.2125
108,1,6.1,4,4.5,2.4375,5.0875,-1.518421053,1.041967419,1.5625,1.0125
108,2,4.7,2.5,4.5,2.4375,5.0875,-1.518421053,1.041967419,0.0625,-0.3875
108,3,4.8,2.25,4.5,2.4375,5.0875,-1.518421053,1.041967419,-0.1875,-0.2875
108,4,4.5,2.25,4.5,2.4375,5.0875,-1.518421053,1.041967419,-0.1875,-0.5875
108,5,5.8,2.75,4.5,2.4375,5.0875,-1.518421053,1.041967419,0.3125,0.7125
108,6,4.7,2,4.5,2.4375,5.0875,-1.518421053,1.041967419,-0.4375,-0.3875
108,7,4.8,2.25,4.5,2.4375,5.0875,-1.518421053,1.041967419,-0.1875,-0.2875
109,0,2.1,1,4,1.541666667,2.228571429,-1.018421053,0.146134085,-0.541666667,-0.128571429
109,1,1.5,1.25,4,1.541666667,2.228571429,-1.018421053,0.146134085,-0.291666667,-0.728571429
109,3,1.6,1,4,1.541666667,2.228571429,-1.018421053,0.146134085,-0.541666667,-0.628571429
109,4,3,2.25,4,1.541666667,2.228571429,-1.018421053,0.146134085,0.708333333,0.771428571
109,5,3.3,2.5,4,1.541666667,2.228571429,-1.018421053,0.146134085,0.958333333,1.071428571
109,6,2.1,1.25,4,1.541666667,2.228571429,-1.018421053,0.146134085,-0.291666667,-0.128571429
109,7,2,NA,4,1.541666667,2.228571429,-1.018421053,0.146134085,NA,-0.228571429
110,0,2,1,3.5,1.125,2.0375,-0.518421053,-0.270532581,-0.125,-0.0375
110,1,1.6,0.25,3.5,1.125,2.0375,-0.518421053,-0.270532581,-0.875,-0.4375
110,2,1.8,1.75,3.5,1.125,2.0375,-0.518421053,-0.270532581,0.625,-0.2375
110,3,2.2,2.25,3.5,1.125,2.0375,-0.518421053,-0.270532581,1.125,0.1625
110,4,1.7,0.75,3.5,1.125,2.0375,-0.518421053,-0.270532581,-0.375,-0.3375
110,5,1.8,0.75,3.5,1.125,2.0375,-0.518421053,-0.270532581,-0.375,-0.2375
110,6,1.6,0.5,3.5,1.125,2.0375,-0.518421053,-0.270532581,-0.625,-0.4375
