"","x"
"1",1.06745718475226
"2",1.29576171449091
"3",1.16089407903605
"4",1.39314558075665
"5",1.09751718200727
"6",1.14182965547999
"7",1.07501636568197
"8",1.0144385064256
"9",1.20841738066058
"10",0.966043643190147
"11",1.22703660081599
"12",0.931538250866998
"13",1.21905639414155
"14",1.23656504042916
"15",1.27388892576913
"16",1.12830366133791
"17",1.32444363656486
"18",1.19983679778778
"19",1.31961259222011
"20",1.2239509715193
"21",1.10297454784489
"22",1.15726021739948
"23",1.09959046993391
"24",1.07351060511579
"25",0.99971575227023
"26",1.03355943096395
"27",0.931470774963779
"28",1.29352128472345
"29",1.06329242916653
"30",1.0259625362488
"31",1.23215653010109
"32",1.21218248768279
"33",1.3880058660503
"34",1.00894396589669
"35",1.34697071977901
"36",1.08275636597128
"37",1.25723332870453
"38",1.12770761982975
"39",1.23888522804719
"40",1.16982599627762
"41",1.23860405920445
"42",1.07402719378746
"43",1.20794492549688
"44",1.19454500481116
"45",1.12291369189883
"46",1.30783385029939
"47",1.14676582419977
"48",1.07378592193202
