"","ID","mastery","performance","confidence"
"1",1,3.45672686323173,2.61136898649468,1.32463527873413
"2",2,4.20922656275238,1.16385784184475,5.59708242153612
"3",3,3.90054608813564,2.74721113149316,5.07010192764316
"4",4,4.03392860694597,1.91685384326631,2.66361254246272
"5",5,3.70111972143351,1.40764934883652,1.85699054799048
"6",6,3.54666727183757,2.38113007315274,4.34443349690765
"7",7,4.00826141026201,1.64125337460815,2.85723555082604
"8",8,3.96186375939191,2.81712867058862,3.63480600354713
"9",9,4.88577016229158,2.33004342668156,3.55845909034615
"10",10,2.88028945755232,2.16654761762686,2.70290651007566
"11",11,5.29842517803412,1.70522553491748,7.08615572834854
"12",12,4.20103296244487,2.75483881133757,3.80898192664809
"13",13,3.82019482271345,2.52194303279349,4.46966615770318
"14",14,4.88098322196376,2.85331832238345,9.23197341302641
"15",15,3.37126444596711,2.31150728898023,3.55940698092336
"16",16,4.61818087638784,2.54812144477282,4.12774804681924
"17",17,3.60105702722602,1.83587810453576,4.59390132529678
"18",18,4.41607014389324,1.57064616581727,2.30947784369154
"19",19,3.97760650055904,1.53490938071497,5.34765348074232
"20",20,4.52133984273676,2.5985464085036,4.04980509321
"21",21,3.80294506728455,2.86512749771533,3.17116219385206
"22",22,5.33680288640396,2.86059788625441,6.30629485464531
"23",23,3.27626524036127,2.61668133364362,6.29577636935981
"24",24,4.48323688046151,2.9798795313693,4.33254625776398
"25",25,3.78954345624657,1.87558166643711,4.99996150506396
"26",26,4.09367766573598,2.9099345081851,6.31005400136326
"27",27,3.82138671527362,2.09640067686988,2.85389402502142
"28",28,4.06764135114715,2.56795129273487,1.92373723876379
"29",29,2.76712705033391,1.90324082241973,3.65608037726481
"30",30,4.34951974219414,2.51093540203506,3.52068153432595
"31",31,5.79219890620866,2.36463779002042,5.39909177926076
"32",32,4.29870786106479,1.87598270093836,3.55499590638701
"33",33,2.96966205621663,3.11298088391079,3.29139671147558
"34",34,3.49454886728321,1.92680844382605,5.13796021260398
"35",35,4.23614052425675,2.44443534420958,5.36636423256563
"36",36,4.79791316678624,2.58999960705812,6.84319833977201
"37",37,4.8367099075662,1.73068338024899,3.62095112371638
"38",38,3.45640565069794,2.03739175356014,4.27367671045882
"39",39,4.88472169081435,0.569749289417989,5.41842114739578
"40",40,5.06762337072244,2.22916535086735,4.69236849126536
"41",41,4.69387555246842,2.56532967374925,6.65440584659399
"42",42,3.69623829940347,1.37009661410635,3.74719067335599
"43",43,4.48262800107761,2.40462282648153,4.21266985773784
"44",44,3.51730426181325,2.27868970185669,2.47404401674023
"45",45,3.54786101498837,2.08759193335936,3.47950942524983
"46",46,4.96553576168205,2.54376457972922,4.4006334461846
"47",47,2.73358050104676,2.03313097759485,3.20393170001476
"48",48,3.52119313596892,3.09793685135871,5.66274941475712
"49",49,3.97331048246658,2.12944410933336,5.3533075272358
"50",50,3.25624719208214,2.39082727784117,3.38971997843728
"51",51,4.86580631179552,2.54388224664541,4.45231342198075
"52",52,4.36997649605482,2.4060753212972,6.2364027885028
"53",53,4.1212905254591,2.81881246193663,2.14056140709102
"54",54,4.47045897499573,3.53334476499831,6.52478729486687
"55",55,3.65378489334787,2.58891685770078,4.07224841831815
"56",56,4.7402922447218,2.56522577200035,4.73192295422805
"57",57,3.69198154384652,2.29612101912596,2.32188397921476
"58",58,3.0127443387093,1.64129910471574,3.42581034732432
"59",59,3.92411473938115,1.90781177203119,5.3016919693293
"60",60,4.80434305695277,1.35509215538297,5.28355168750029
"61",61,3.17873487790074,1.79431806905981,2.16921659343667
"62",62,4.05490767349333,2.90274815808787,2.95635102793406
"63",63,4.7240845960494,1.71619218303559,3.60794012461997
"64",64,5.71103498815945,2.16380707081478,5.34769823997679
"65",65,4.92637218875334,2.33864937886871,6.59352700922538
"66",66,5.69342361771178,2.08824808576716,4.26527282131686
"67",67,3.44693281573936,3.05298692563758,5.87159801188733
"68",68,5.11046271467761,2.76191703739519,5.23416428330017
"69",69,3.45198288492596,1.89326057989101,4.45297088609123
"70",70,3.69044940597944,1.74069470280261,4.85980780291431
"71",71,4.33273549220899,2.14807104538451,4.85263196764193
"72",72,3.49352324281068,3.303052545519,4.46447991016457
"73",73,4.70742938998741,1.69378391146343,2.28786741693876
"74",74,4.43619023846903,2.89781187251564,5.1381641043052
"75",75,4.42497608364199,2.04144026331062,5.20071184917197
"76",76,3.86619955165199,2.70091059880677,4.71377935894069
"77",77,3.7107439217656,2.93078914407321,3.89579162204074
"78",78,3.64007057844831,3.31477621179286,3.89217284592484
"79",79,3.74023893653173,2.5358313272298,8.62843026642516
"80",80,5.0336755807041,2.44626083142384,5.2558664023407
"81",81,4.20955153202415,2.86524261621887,3.90123456935242
"82",82,3.23625462011233,2.14178842942002,2.81503927499807
"83",83,4.77514632995387,2.97636096171212,6.86489903997745
"84",84,4.40754593259982,1.42312489798981,3.50655286801411
"85",85,4.45599033984856,2.23979965195924,4.53086169340688
"86",86,3.7451932481297,2.41038079098642,5.41302497701817
"87",87,3.92519200042963,1.44573908168792,4.4899825984575
"88",88,4.86936244174625,2.90535542683538,3.52897814794779
"89",89,3.07847932149727,1.51998599466822,2.02716831432383
"90",90,4.11612890998176,2.93829850561206,3.18201737297974
"91",91,4.14438002687222,1.91336301521696,4.18903324396279
"92",92,4.08167343199867,2.59064009496063,6.0426665424965
"93",93,3.73951921605682,2.19543128388061,4.19892429140255
"94",94,5.00753493311495,2.54343415422949,6.08317597018222
"95",95,5.13723545170309,1.38697761105824,5.32582157086093
"96",96,3.59301133412396,2.60975444046422,1.24070318246545
"97",97,4.21244585997856,2.9953631713094,5.22755275939381
"98",98,4.87087591481844,2.28935369405082,5.74009377016679
"99",99,4.91377017192084,2.63435088253798,4.41523209490753
"100",100,3.55010755266876,2.64548328034663,5.34521626657331
"101",101,3.26848660501232,1.55584030408257,4.50596015440578
"102",102,4.37240562263975,2.83193940293996,4.96408494248017
"103",103,3.94254840578692,2.83009752706282,2.75849590130521
"104",104,4.08722755390016,3.34114803800802,6.03603625029002
"105",105,4.09803235092612,2.14850780833134,3.45995420568599
"106",106,3.23803968268164,2.41406245309606,4.88525048331364
"107",107,4.37283081530148,2.4389183838813,5.69084389930611
"108",108,3.79868364113002,1.74119359227779,5.68229287169936
"109",109,2.85928864922712,2.64833340004768,2.68825002749588
"110",110,5.18780125750838,2.63125239681956,5.81399751827074
