"","condition","heads"
"1","cheater",2.9794763898261
"2","cheater",5.42329517132357
"3","cheater",4.48493857047973
"4","cheater",4.99855371436634
"5","cheater",3.4896221818053
"6","cheater",6.30850679330582
"7","cheater",5.64936313260963
"8","cheater",5.47819726872052
"9","cheater",3.68284049709592
"10","cheater",3.45960150943792
"11","cheater",5.22536317040746
"12","cheater",3.3287616328036
"13","cheater",7.15446546805298
"14","cheater",6.75941081517013
"15","cheater",4.07691817867656
"16","cheater",4.81604726574863
"17","cheater",5.41030310431521
"18","cheater",4.6609108771585
"19","cheater",6.25242730612983
"20","cheater",1.95158347895806
"21","cheater",4.08275316844079
"22","cheater",6.50643357161614
"23","cheater",4.0720121930292
"24","cheater",2.91931838004561
"25","cheater",3.89247167529566
"26","cheater",6.21162948246776
"27","cheater",5.05553582584923
"28","cheater",4.98708473746619
"29","cheater",5.69138673463131
"30","cheater",7.37611741633413
"31","cheater",4.75780658678347
"32","cheater",3.6204859453432
"33","cheater",5.34634352659341
"34","cheater",3.37715224452099
"35","cheater",3.74422853313968
"36","cheater",4.71195357780595
"37","cheater",6.13796409865062
"38","cheater",4.51177800222951
"39","cheater",6.79758752610659
"40","cheater",4.35802624320048
"41","cheater",7.68562773151904
"42","cheater",5.38841815538095
"43","cheater",3.91399082538809
"44","cheater",4.67105473036298
"45","cheater",3.37758878521876
"46","cheater",5.44176154929597
"47","cheater",7.39330050826149
"48","cheater",5.14655644274512
"49","cheater",4.79383262620411
"50","cheater",4.64862207252242
"51","cheater",5.9766472231125
"52","cheater",4.87596025151799
"53","cheater",3.59458196274265
"54","cheater",4.77224943788932
"55","cheater",2.87901751922666
"56","cheater",3.38529666194908
"57","cheater",4.35595465630464
"58","cheater",3.45910818867184
"59","cheater",4.88101540940507
"60","cheater",6.63035309565753
"61","cheater",4.06139670664418
"62","cheater",4.10953888921238
"63","cheater",6.18937031639169
"64","cheater",6.45565908798426
"65","cheater",4.33962814728378
"66","cheater",6.84523439217548
"67","cheater",6.16091221126574
"68","cheater",5.06479166380453
"69","cheater",3.19940130212008
"70","cheater",5.52258233281937
"71","cheater",4.66802422831056
"72","cheater",7.8355639506954
"73","cheater",5.99129964764198
"74","cheater",5.25526407313499
"75","cheater",3.51113617230477
"76","cheating",4.53048374515997
"77","cheating",6.97871047471781
"78","cheating",5.64856635849047
"79","cheating",5.32404336078308
"80","cheating",3.23914025231108
"81","cheating",6.58004487241599
"82","cheating",4.55960060134852
"83","cheating",4.26794499287059
"84","cheating",6.87309784629818
"85","cheating",3.25739016899955
"86","cheating",4.80000432923746
"87","cheating",6.58487329142303
"88","cheating",4.5229761997571
"89","cheating",4.54109628424278
"90","cheating",6.11298147108095
"91","cheating",6.6759321371318
"92","cheating",3.22909062444151
"93","cheating",6.72082355916102
"94","cheating",5.15338624804688
"95","cheating",6.31777112470006
"96","cheating",6.67597285855987
"97","cheating",5.8051501396205
"98","cheating",5.16865883617955
"99","cheating",6.53330422199811
"100","cheating",6.99593598307981
"101","cheating",5.90821275780492
"102","cheating",7.47538380661245
"103","cheating",5.89188728961286
"104","cheating",4.99268104134261
"105","cheating",5.45585153981059
"106","cheating",7.61185927487725
"107","cheating",5.60908072291375
"108","cheating",6.68859042630759
"109","cheating",4.10512168073627
"110","cheating",5.79423127412865
"111","cheating",3.82856341705977
"112","cheating",3.42567929806958
"113","cheating",5.83533441731597
"114","cheating",7.95939985886607
"115","cheating",5.91996193363352
"116","cheating",5.34816737018518
"117","cheating",6.17783663374325
"118","cheating",5.66613799217957
"119","cheating",4.95754014483902
"120","cheating",5.30150997552684
"121","cheating",8.75882385250446
"122","cheating",5.92592908696733
"123","cheating",7.29067574164361
"124","cheating",4.73906482429837
"125","cheating",8.1894109566921
"126","cheating",4.6486387590396
"127","cheating",5.74843417011781
"128","cheating",5.84078276387439
"129","cheating",4.00430026185232
"130","cheating",7.20806447092392
"131","cheating",6.58945836427902
"132","cheating",6.03582737439138
"133","cheating",6.8894911548239
"134","cheating",5.83673567741763
"135","cheating",6.40944204952861
"136","cheating",5.54818254127458
"137","cheating",7.67390356320668
"138","cheating",5.80046247012557
"139","cheating",7.43405305591714
"140","cheating",4.39242235484105
"141","cheating",2.09665966797745
"142","cheating",6.33496176367773
"143","cheating",9.12033019607427
"144","cheating",7.43774533622636
"145","cheating",4.85761790059738
"146","cheating",2.61933227397245
"147","cheating",6.49561945089697
"148","cheating",7.07578135580141
"149","cheating",7.43159128866857
"150","cheating",4.10602927387063
